Subject	Pretest	Posttest		37				
1	30	29	-1	42				
2	28	30	2	12				
3	31	32	1	32		37	41	-4
4	26	30	4	97		42	45	-3
5	20	16	-4	68		12	18	-6
6	30	25	-5	14		32	106	-74
7	34	31	-3	29		97	107	-10
8	15	18	3			68	171	-103
9	28	33	5			14	12	2
10	20	25	5			29	30	-1
11	30	32	2			41.375	66.25	-24.875
12	29	28	-1					1614.410714
13	31	34	3					40.17973014
14	29	32	3					
15	34	32	-2					
16	20	27	7					
17	26	28	2					
18	25	29	4					
19	31	32	1					
20	29	32	3					
	27.3		1.45					
	25.37894737		10.26052632					
	5.037752214		3.203205631					
