"race","activity","bmi"
"2","3",21.782961911
"1","1",34.345135276
"1","1",29.053717623
"2","3",21.317268531
"2","2",31.978432568
"2","2",25.889789768
"1","3",19.857209642
"1","3",22.925629259
"1","1",17.573608974
"1","2",18.705439813
"1","1",19.52876867
"2","3",24.145903626
"2","1",35.625389496
"1","2",18.393484295
"1","3",23.51509008
"1","2",27.478071051
"1","3",18.701446233
"1","3",18.64734799
"1","3",19.631059906
"2","2",26.191853026
"1","2",23.250743444
"1","2",22.246378012
"2","1",43.147575084
"1","2",24.321154625
"2","1",22.427938763
"1","3",18.770260467
"1","3",33.29320004
"1","3",25.177583065
"1","3",21.987795457
"2","1",30.8401121
"1","3",21.508916324
"1","3",26.208080508
"1","1",22.02206699
"1","2",25.463253613
"2","3",29.301699173
"1","3",20.911750346
"1","3",28.627217748
"1","3",17.639907496
"1","3",21.802207117
"1","3",22.694824599
"2","3",20.767809429
"2","3",35.787267053
"1","2",25.894408554
"1","2",27.243463902
"1","3",21.58341869
"2","2",28.113618272
"1","3",17.479053401
"1","3",27.147353564
"1","2",21.158540158
"1","3",26.362664968
"1","3",27.81356311
"1","2",28.071088638
"1","3",19.759165809
"1","3",36.355865948
"1","2",20.300444726
"1","2",24.117647059
"1","2",18.521841771
"1","3",25.471480547
"1","3",22.844389607
"1","1",18.718756564
"1","3",19.555386862
"2","2",19.654017817
"1","3",19.237338887
"1","2",19.497139615
"1","2",23.316721538
"1","3",20.19490597
"1","3",26.132101758
"1","1",35.786666687
"1","2",23.922468402
"1","2",20.322822908
"1","1",36.38638945
"1","2",35.09908818
"1","1",17.962057214
"1","3",19.098705144
"1","3",22.323281689
"1","2",21.073380871
"1","2",19.934458634
"1","3",20.277983422
"1","2",21.735779545
"1","3",21.458511207
"2","2",31.406515864
"1","2",19.291624296
"1","1",27.320530407
"2","2",25.381296069
"1","3",18.209642926
"1","3",20.640435819
"1","2",20.614122618
"1","3",21.419523391
"2","2",18.469653793
"1","2",28.742299534
"1","3",20.230729878
"1","2",27.206299083
"1","3",21.826391406
"1","2",22.86702247
"1","3",20.873057731
"1","2",18.094653926
"1","3",17.069840997
"1","2",20.742945247
"1","3",23.778361872
"1","3",20.846834184
"1","2",24.821078873
"1","3",21.092482423
"1","2",21.207822286
"1","3",21.246087286
"1","1",22.767171302
"1","3",21.913458305
"1","3",21.823219138
"1","2",22.273087982
"1","1",36.097331631
"1","3",20.356629515
"1","3",19.358639845
"1","3",19.022444656
"1","1",20.759127396
"1","3",19.640563238
"1","3",19.59892408
"1","3",20.897653099
"1","2",22.138035584
"1","3",17.473338704
"1","3",23.464806162
"1","2",18.362568264
"2","2",23.010801177
"1","3",24.402257821
"1","3",19.139295637
"1","2",21.522828862
"1","2",23.523316818
"1","3",19.243753447
"2","2",23.498898152
"1","3",24.097217732
"1","2",26.054742811
"1","2",21.316055341
"1","2",23.752119037
"1","3",21.412921861
"2","2",22.064024486
"1","3",22.158934194
"1","2",30.324429185
"1","2",26.043683433
"1","2",21.769607638
"2","2",23.673420024
"1","2",33.797299659
"2","2",22.281577495
"1","2",27.482916364
"1","1",22.125408712
"1","1",19.967578358
"1","3",29.797354062
"1","1",25.306631361
"1","2",24.375990055
"1","3",23.336947913
"1","2",29.20448
"1","2",23.756171002
"1","3",20.598338662
"1","3",27.410927063
"1","3",19.100785958
"1","3",20.275682438
"1","2",25.151293772
"1","2",28.325611061
"1","3",19.376235307
"1","2",24.828445249
"1","1",22.112896081
"1","3",23.287987323
"1","1",19.447648155
"2","2",42.478958598
"1","2",20.887386682
"2","2",24.502433141
"1","3",21.629308056
"1","2",27.806200983
"1","2",21.946755167
"2","2",21.617664395
"1","2",24.37553042
"1","2",19.539466564
"2","2",21.807238845
"2","3",19.847376973
"2","2",34.100412547
"1","3",21.367236756
"1","3",22.881463766
"1","2",27.513745979
"2","2",19.757839855
"2","2",24.839741162
"2","3",20.759197711
"2","2",23.158250494
"1","3",20.421048983
"1","3",24.892688528
"1","3",21.524827832
"2","3",25.04295223
"1","2",20.923574499
"1","2",35.337556501
"1","2",17.735288156
"2","2",30.578676647
"2","2",21.542248812
"2","3",20.474603332
"2","2",22.294146562
"2","2",30.317606075
"2","2",17.629632957
"2","3",32.736011714
"2","1",24.100216833
"2","2",50.105432233
"2","2",31.948722707
"2","1",23.852792132
"1","2",19.222894411
"2","2",20.706557803
