"Participant","Carrier","SPL","SL","Rayleigh","Ftest"
"ANH4205","a_F1",20,-5.1,0.04823245,0.138943530052146
"ANH4205","a_F1",35,9.9,0.93665525,0.840625531018002
"ANH4205","a_F1",50,24.9,0.03759864,0.165226037751984
"ANH4205","a_F1",65,39.9,0,1.64984521410613e-08
"ANH4205","a_F2",20,-3.29,0.03524554,0.00435555600887715
"ANH4205","a_F2",35,11.71,0.4724558,0.289134280862496
"ANH4205","a_F2",50,26.71,0,0.00057920567321051
"ANH4205","a_F2",65,41.71,0,0.000168363436484855
"ANH4205","i_F1",20,-6.54,0.19971633,0.0262734917360714
"ANH4205","i_F1",35,8.46,0.03311545,0.0490713668177368
"ANH4205","i_F1",50,23.46,0,3.96633901299987e-13
"ANH4205","i_F1",65,38.46,0,3.32800696087877e-17
"ANH4205","i_F2",20,-13.64,0.19076443,0.271974456083415
"ANH4205","i_F2",35,1.36,0.34390323,0.717903373267916
"ANH4205","i_F2",50,16.36,0,1.63758248073275e-05
"ANH4205","i_F2",65,31.36,0,2.35955285513971e-10
"ANH4205","s",20,-0.36,0.02153201,0.000351206804510247
"ANH4205","s",35,14.64,0,5.27869858234835e-09
"ANH4205","s",50,29.64,0,1.98875938886930e-09
"ANH4205","s",65,44.64,0,2.69051859705346e-11
"ANH4205","sh",20,-4.37,0.01629082,0.491949574069423
"ANH4205","sh",35,10.63,1.97e-06,0.000846065970559124
"ANH4205","sh",50,25.63,0,1.79264167612542e-07
"ANH4205","sh",65,40.63,0,2.45773424502118e-09
"ANH4205","u_F1",20,-1.34,0.88629063,0.336919551689665
"ANH4205","u_F1",35,13.66,0.00013282,0.00121598816831756
"ANH4205","u_F1",50,28.66,0,3.26492314366868e-10
"ANH4205","u_F1",65,43.66,0,1.09907360180724e-10
"ANH4205","u_F2",20,-13.8,0.0621489,0.0903722538734941
"ANH4205","u_F2",35,1.2,0.26190311,0.24766762795045
"ANH4205","u_F2",50,16.2,0.07169869,0.246824512344617
"ANH4205","u_F2",65,31.2,0,0.000906457159156307
"ANH4206","a_F1",20,4.9,0.72872467,0.922883095134409
"ANH4206","a_F1",35,19.9,0.49113819,0.682136068831535
"ANH4206","a_F1",50,34.9,0.00299659,0.0137154062738097
"ANH4206","a_F1",65,49.9,0,0.000579564710057816
"ANH4206","a_F2",20,1.71,0.16532682,0.816748088273483
"ANH4206","a_F2",35,16.71,0.01585624,0.0730491412543925
"ANH4206","a_F2",50,31.71,0,3.17285697118854e-08
"ANH4206","a_F2",65,46.71,0,3.81181194861546e-05
"ANH4206","i_F1",20,3.46,0.71253151,0.265481113080543
"ANH4206","i_F1",35,18.46,0.64630475,0.707252917280299
"ANH4206","i_F1",50,33.46,0.00963485,0.0146196828051633
"ANH4206","i_F1",65,48.46,0,1.3387322150559e-10
"ANH4206","i_F2",20,-3.64,0.21044755,0.675069439834576
"ANH4206","i_F2",35,11.36,0.9713347,0.49256582914202
"ANH4206","i_F2",50,26.36,7.39e-06,0.0248729054276516
"ANH4206","i_F2",65,41.36,5.67e-06,0.000571671969969401
"ANH4206","s",20,-5.36,0.23092571,0.602551741481026
"ANH4206","s",35,9.64,1.496e-05,0.000566631846501726
"ANH4206","s",50,24.64,0,2.48311705293868e-11
"ANH4206","s",65,39.64,0,1.26768074686849e-07
"ANH4206","sh",20,-4.37,0.50810828,0.593707786013332
"ANH4206","sh",35,10.63,0.12511277,0.205947700038193
"ANH4206","sh",50,25.63,0,8.79299990031688e-07
"ANH4206","sh",65,40.63,0,1.30690693903739e-06
"ANH4206","u_F1",20,3.66,0.94337709,0.616786985771458
"ANH4206","u_F1",35,18.66,0.00083206,8.46308077725532e-05
"ANH4206","u_F1",50,33.66,0,6.90089669368073e-09
"ANH4206","u_F1",65,48.66,0,1.88138051251282e-14
"ANH4206","u_F2",20,-8.8,0.11688255,0.378603566761897
"ANH4206","u_F2",35,6.2,0.07902472,0.0107493092247303
"ANH4206","u_F2",50,21.2,0.10053793,0.0764139752651035
"ANH4206","u_F2",65,36.2,0,1.17535513961782e-07
"ANH4207","a_F1",20,-0.1,0.57756982,0.429982876706678
"ANH4207","a_F1",35,14.9,0.00107384,0.00117969034568797
"ANH4207","a_F1",50,29.9,0.00055219,0.0267586559225018
"ANH4207","a_F1",65,44.9,0,0.00262861053086688
"ANH4207","a_F2",20,1.71,0.5608711,0.602504024212724
"ANH4207","a_F2",35,16.71,0,5.06876073673602e-06
"ANH4207","a_F2",50,31.71,0,2.68613572208918e-08
"ANH4207","a_F2",65,46.71,0,6.14854069838163e-06
"ANH4207","i_F1",20,-1.54,0.33177212,0.149464798886592
"ANH4207","i_F1",35,13.46,0.27178504,0.11370886353349
"ANH4207","i_F1",50,28.46,0.00864934,0.0246297474181698
"ANH4207","i_F1",65,43.46,0,1.72294806562944e-06
"ANH4207","i_F2",20,-8.64,0.08947028,0.791803205558968
"ANH4207","i_F2",35,6.36,0.0388729,0.034652650506178
"ANH4207","i_F2",50,21.36,1.46e-06,0.00233276006628683
"ANH4207","i_F2",65,36.36,0,4.24587682850453e-06
"ANH4207","s",20,-5.36,0.23011723,0.768008925611512
"ANH4207","s",35,9.64,0.00099023,0.137657751794567
"ANH4207","s",50,24.64,0,0.000970227858998802
"ANH4207","s",65,39.64,0,2.92102893611212e-09
"ANH4207","sh",20,-4.37,0.6709037,0.836569585713486
