average	tot	marriage	edu	abode
1.17	12	1	1	1
0.85	27	1	2	1
1.05	39	1	3	1
0.69	51	1	4	1
2.54	13	2	1	1
2.65	37	2	2	1
2.68	44	2	3	1
2.29	21	2	4	1
4.17	18	3	1	1
3.33	43	3	2	1
3.62	29	3	3	1
3.33	15	3	4	1
4.7	23	4	1	1
5.36	42	4	2	1
4.6	20	4	3	1
3.8	15	4	4	1
5.36	22	5	1	1
5.88	25	5	2	1
5	13	5	3	1
5.33	3	5	4	1
6.52	46	6	1	1
7.51	45	6	2	1
7.54	13	6	3	1
0	0	6	4	1
0.97	62	1	1	2
0.96	102	1	2	2
0.97	107	1	3	2
0.74	47	1	4	2
2.44	70	2	1	2
2.71	117	2	2	2
2.47	81	2	3	2
2.24	21	2	4	2
4.14	88	3	1	2
4.14	132	3	2	2
3.94	50	3	3	2
3.33	9	3	4	2
5.06	114	4	1	2
5.59	86	4	2	2
4.5	30	4	3	2
2	1	4	4	2
6.46	117	5	1	2
6.34	68	5	2	2
5.74	23	5	3	2
2.5	2	5	4	2
7.48	195	6	1	2
7.81	59	6	2	2
5.8	10	6	3	2
0	0	6	4	2
